Site,Sample,Replicate,Date,Rabigus,Stenus,Meronera,Acrotona,Xantholinus,Harpalus faunus,Cratacanthus dubius,Cicindelidia punctulata,Hyperapis undulata,Brachiacantha ursina,Coleomegilla maculata,Cycloneda munda,Propylea quatuordecimpunctata,Harmonia axyridis,Hippodamia variegata
Allerton,C26,A,8/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Allerton,C29,A,8/26/2020,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Allerton,C35,A,9/7/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dix,C1,A,7/1/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dix,C15,A,7/27/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dix,C22,A,8/11/2020,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Dix,C27,A,8/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Dix,C33,A,9/7/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Dix,C39,A,9/23/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rec,C7,A,7/1/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rec,C23,A,8/11/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rec,C32,A,8/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
